identifier	upos_dist_DET	upos_dist_ADV	upos_dist_PUNCT	upos_dist_NUM	upos_dist_PRON	upos_dist_ADP	upos_dist_PROPN	upos_dist_ADJ	upos_dist_VERB	upos_dist_NOUN	upos_dist_CCONJ	upos_dist_AUX	xpos_dist_A	xpos_dist_VA	xpos_dist_B	xpos_dist_FB	xpos_dist_PC	xpos_dist_N	xpos_dist_V	xpos_dist_SP	xpos_dist_RD	xpos_dist_E	xpos_dist_CC	xpos_dist_FF	xpos_dist_RI	xpos_dist_FS	xpos_dist_S	verbs_mood_dist_Ind	verbs_tense_dist_Pres	verbs_tense_dist_Past	verbs_form_dist_Inf	verbs_form_dist_Fin	verbs_form_dist_Part	verbs_num_pers_dist_Sing+3	aux_mood_dist_Ind	aux_tense_dist_Pres	aux_form_dist_Fin	aux_num_pers_dist_Sing+3	verbal_head_per_sent	verbal_root_perc	avg_token_per_clause	avg_links_len	max_links_len	avg_max_links_len	avg_max_depth	dep_dist_advcl	dep_dist_nmod	dep_dist_obl	dep_dist_aux	dep_dist_conj	dep_dist_cop	dep_dist_advmod	dep_dist_cc	dep_dist_det	dep_dist_root	dep_dist_obj	dep_dist_punct	dep_dist_mark	dep_dist_case	dep_dist_amod	dep_dist_nsubj	subj_pre	subj_post	obj_post	n_prepositional_chains	avg_prepositional_chain_len	prep_dist_1	subordinate_dist_1	avg_subordinate_chain_len	principal_proposition_dist	subordinate_proposition_dist	subordinate_post	verb_edges_dist_1	verb_edges_dist_2	verb_edges_dist_4	verb_edges_dist_3	avg_verb_edges
	POS	POS	POS	POS	POS	POS	POS	POS	POS	POS	POS	POS	POS	POS	POS	POS	POS	POS	POS	POS	POS	POS	POS	POS	POS	POS	POS	VerbInflection	VerbInflection	VerbInflection	VerbInflection	VerbInflection	VerbInflection	VerbInflection	VerbInflection	VerbInflection	VerbInflection	VerbInflection	VerbPredicate	VerbPredicate	TreeStructure	TreeStructure	TreeStructure	TreeStructure	TreeStructure	SyntacticDep	SyntacticDep	SyntacticDep	SyntacticDep	SyntacticDep	SyntacticDep	SyntacticDep	SyntacticDep	SyntacticDep	SyntacticDep	SyntacticDep	SyntacticDep	SyntacticDep	SyntacticDep	SyntacticDep	SyntacticDep	Order	Order	Order	TreeStructure	TreeStructure	TreeStructure	Subord	Subord	Subord	Subord	Subord	VerbPredicate	VerbPredicate	VerbPredicate	VerbPredicate	VerbPredicate
isdt_isst_tanl-19	14.2857142857143	0	14.2857142857143	0	0	14.2857142857143	28.5714285714286	0	14.2857142857143	14.2857142857143	0	0	0	0	0	0	0	0	0.142857142857143	0.285714285714286	0.142857142857143	0.142857142857143	0	0	0	0.142857142857143	0.142857142857143	100	100	0	0	100	0	100	0	0	0	0	1	100	7	1.4	2	2	2	0	14.2857142857143	14.2857142857143	0	0	0	0	0	14.2857142857143	14.2857142857143	0	14.2857142857143	0	14.2857142857143	0	14.2857142857143	100	0	0	0	0	0	0	0	100	0	0	0	100	0	0	2
isdt_isst_tanl-141	16.6666666666667	0	16.6666666666667	0	0	16.6666666666667	0	0	16.6666666666667	16.6666666666667	0	16.6666666666667	0	0.166666666666667	0	0	0	0	0.166666666666667	0	0	0.166666666666667	0	0	0.166666666666667	0	0.166666666666667	0	0	100	0	0	100	0	100	100	100	0	1	100	6	1.75	3	3	2	0	0	16.6666666666667	16.6666666666667	0	0	0	0	16.6666666666667	16.6666666666667	0	16.6666666666667	0	16.6666666666667	0	0	0	0	0	0	0	0	0	0	100	0	0	100	0	0	0	1
isdt_isst_tanl-152	0	0	33.3333333333333	0	33.3333333333333	0	0	0	33.3333333333333	0	0	0	0	0	0	0	0	0	0.333333333333333	0	0	0	0	0	0	0.333333333333333	0	100	100	0	0	100	0	100	0	0	0	0	1	100	3	1	1	1	1	0	0	0	0	0	0	0	0	0	33.3333333333333	0	33.3333333333333	0	0	0	33.3333333333333	100	0	0	0	0	0	0	0	100	0	0	100	0	0	0	1
isdt_isst_tanl-248	12.5	0	12.5	0	12.5	12.5	12.5	12.5	0	12.5	0	12.5	0.125	0	0	0	0	0	0.125	0.125	0.125	0.125	0	0	0	0.125	0.125	0	0	0	0	0	0	0	100	100	100	100	1	100	8	1.66666666666667	3	3	3	0	12.5	0	0	0	12.5	0	0	12.5	12.5	0	12.5	0	12.5	12.5	12.5	0	100	0	1	1	100	0	0	100	0	0	0	0	0	0	0
isdt_isst_tanl-264	0	25	12.5	0	37.5	12.5	0	0	12.5	0	0	0	0	0	0.125	0	0.25	0	0.125	0	0	0.125	0	0	0	0.125	0	100	100	0	0	100	0	100	0	0	0	0	1	100	8	2	4	4	2	0	0	12.5	0	0	0	25	0	0	12.5	0	12.5	0	12.5	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	5
isdt_isst_tanl-548	0	0	33.3333333333333	0	0	33.3333333333333	0	0	33.3333333333333	0	0	0	0	0	0	0	0	0	0.333333333333333	0	0	0.333333333333333	0	0	0	0.333333333333333	0	0	0	0	100	0	0	0	0	0	0	0	1	100	3	1	1	1	1	0	0	0	0	0	0	0	0	0	33.3333333333333	0	33.3333333333333	33.3333333333333	0	0	0	0	0	0	0	0	0	0	0	100	0	0	100	0	0	0	1
isdt_isst_tanl-657	25	0	12.5	0	0	12.5	0	0	12.5	37.5	0	0	0	0	0	0	0	0	0.125	0	0.125	0.125	0	0	0	0.125	0.375	100	0	0	0	100	0	100	0	0	0	0	1	100	8	1.5	3	3	2	0	0	12.5	0	0	0	0	0	25	12.5	12.5	12.5	0	12.5	0	12.5	100	0	100	0	0	0	0	0	100	0	0	0	0	0	100	3
isdt_isst_tanl-666	20	0	20	0	0	0	0	20	0	20	0	20	0.2	0	0	0	0	0	0.2	0	0.2	0	0	0	0	0	0.2	0	0	0	0	0	0	0	100	0	100	100	1	100	5	1.33333333333333	2	2	2	0	0	0	0	0	20	0	0	20	20	0	20	0	0	0	20	100	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0
isdt_isst_tanl-732	12.5	0	37.5	0	12.5	0	0	0	25	12.5	0	0	0	0	0	0.25	0	0	0.25	0	0.125	0	0	0	0	0.125	0.125	100	50	50	0	50	50	100	0	0	0	0	2	100	4	1.75	3	3	3	0	0	0	0	0	0	0	0	12.5	12.5	12.5	37.5	0	0	0	12.5	100	0	100	0	0	0	100	1	50	50	100	100	0	0	0	1
