Feat_group	feats	1	2	3	4	5	6	7	8	9	10	11	12
SyntacticDep	dep_dist_root	0.9753988695	0.9716991957	0.9691018984	0.9689766839	0.9694441497	0.9699763607	0.9691410029	0.9634903613	0.9568514454	0.946533558	0.9238730497	0.8909899183
TreeStructure	avg_max_links_len	0.6035452891	0.5987539254	0.5978444103	0.5967694251	0.6005377563	0.601937164	0.5989505126	0.5966902731	0.5920655126	0.5851150818	0.574048329	0.5569890917
TreeStructure	max_links_len	0.6035452891	0.5987539254	0.5978444103	0.5967694251	0.6005377563	0.601937164	0.5989505126	0.5966902731	0.5920655126	0.5851150818	0.574048329	0.5569890917
TreeStructure	avg_max_depth	0.5662873733	0.5640932542	0.5635758184	0.5643896253	0.5651152629	0.5650095918	0.5630782709	0.5584086987	0.5559723173	0.5550948536	0.5398527521	0.5223533808
VerbPredicate	verbal_head_per_sent	0.4362782449	0.4309858641	0.4311070257	0.4298078014	0.4292052843	0.4284800289	0.4332230826	0.4328053482	0.4272826893	0.4222197189	0.4128615199	0.3926405281
POS	xpos_dist_FS	0.3820381828	0.379562178	0.3787399005	0.3749333835	0.3787796139	0.3814171975	0.3819470994	0.3804138458	0.3803528631	0.3756087992	0.3711057353	0.3419702499
TreeStructure	avg_links_len	0.3621724668	0.3525992531	0.3539706094	0.3571642748	0.3634246343	0.364100877	0.3594139022	0.3559796843	0.3540363236	0.3483685819	0.3418874075	0.332786629
Subord	subordinate_proposition_dist	0.3169545967	0.309138156	0.3094906533	0.3075795152	0.3127033521	0.3153439109	0.3150171004	0.3185392329	0.315618799	0.308570784	0.2981190654	0.2908121971
Subord	avg_subordinate_chain_len	0.3134453647	0.3081711561	0.3114223997	0.3065611664	0.3100993028	0.3115213691	0.3133509323	0.317502131	0.3128128235	0.3090133837	0.2995423255	0.2867787447
TreeStructure	n_prepositional_chains	0.282945884	0.2809753842	0.2766367049	0.2766455798	0.281800932	0.2782322808	0.2768446343	0.2792349714	0.2847805367	0.2805816992	0.2709689245	0.2558830483
Subord	subordinate_post	0.2547340006	0.251311764	0.2565424595	0.2502780189	0.2514009684	0.2556358736	0.2598464513	0.2595075237	0.2554461078	0.2524509178	0.2404204468	0.239068305
Subord	subordinate_dist_1	0.2265933116	0.2248590329	0.229652567	0.2267284124	0.225556029	0.2276887038	0.2308708286	0.230608628	0.2273340198	0.2244265693	0.2125435307	0.207077348
TreeStructure	avg_prepositional_chain_len	0.1755816501	0.1735234608	0.1639179059	0.1642518542	0.1697386206	0.1757842941	0.1666350723	0.1678615645	0.1747719489	0.1752848015	0.1618626057	0.1506358545
Order	obj_post	0.1515271118	0.1571561367	0.1490340454	0.1450880064	0.1440293774	0.1491074778	0.1495929333	0.1528205266	0.1453433668	0.1565407707	0.1447353323	0.1315513569
VerbPredicate	avg_verb_edges	0.1472332877	0.146989098	0.1420727072	0.1398261868	0.1406924349	0.1365623284	0.1419357079	0.1410271198	0.1449545972	0.1415036477	0.1357775976	0.1295740249
TreeStructure	avg_token_per_clause	0.1407079454	0.1434818857	0.1424960719	0.1373354014	0.142150549	0.1372728819	0.1416493867	0.1477845104	0.1390774061	0.1277631148	0.1272637553	0.1346871988
Order	subj_pre	0.1293161581	0.1364798965	0.1327763637	0.1246587371	0.1231036423	0.1230757115	0.1327366286	0.1316754933	0.1361368236	0.1316212941	0.1201571708	0.1121605449
Subord	principal_proposition_dist	0.1220505331	0.1284899621	0.1203660624	0.1144692925	0.1192826578	0.1234850553	0.1275239511	0.1284752483	0.1260688341	0.1191195604	0.1201841244	0.1183605779
POS	xpos_dist_FF	0.09274816108	0.08585901586	0.07062939301	0.08185127822	0.07529581023	0.07939288555	0.06187831568	0.07136855931	0.06948788709	0.05980543847	0.05884466449	0.07109703578
VerbPredicate	verb_edges_dist_4	0.09014266113	0.07851569103	0.07734959202	0.07242176327	0.07029510446	0.06765770296	0.05939219966	0.06873659049	0.06822415129	0.06838018035	0.0511291017	0.04967452609
SyntacticDep	dep_dist_conj	0.09007204148	0.09646833532	0.09688702233	0.08809350578	0.08992994143	0.09710293474	0.1015464686	0.09551101321	0.1004482214	0.09008710085	0.09360168884	0.08209572648
TreeStructure	prep_dist_1	0.0839320082	0.0823851309	0.08513957578	0.08959097002	0.08927180463	0.07452288506	0.07478868919	0.08737967993	0.0863467548	0.07835932667	0.07574526689	0.06526140484
SyntacticDep	dep_dist_mark	0.08186447127	0.07127571435	0.08203008446	0.07540006251	0.0727169892	0.07525693608	0.0824736632	0.08399697998	0.07945051846	0.06732871948	0.07433490913	0.06437794676
VerbInflection	verbs_mood_dist_Ind	0.08122158152	0.08006631252	0.07673224908	0.08767128727	0.0830929907	0.08692170322	0.08055868033	0.07493704105	0.08252917794	0.07978452634	0.07881956313	0.07798836689
SyntacticDep	dep_dist_advcl	0.07542542749	0.07684184423	0.0808848463	0.07559263991	0.07066340789	0.07370324663	0.07504151519	0.07816083479	0.074999584	0.06375840582	0.06049236693	0.06609401621
POS	upos_dist_ADP	0.07167021424	0.07732898368	0.07716134188	0.07166754943	0.08009135867	0.07676895791	0.06665138115	0.07226187076	0.06631061299	0.07375111705	0.07257200602	0.07162085754
VerbInflection	verbs_form_dist_Inf	0.05999982295	0.05230973153	0.07394875596	0.06544063248	0.07211685895	0.06158853847	0.06108263809	0.0575518648	0.06693936134	0.0614407891	0.06392144679	0.05879003247
VerbInflection	verbs_num_pers_dist_Sing+3	0.0550069731	0.04814510879	0.04714237704	0.0531342335	0.04884023811	0.0498619749	0.02741971492	0.03400840497	0.0416722883	0.05001413503	0.04534508885	0.04821186498
POS	xpos_dist_E	0.04821457606	0.05417208981	0.05739950017	0.04982087907	0.05902252483	0.05463013401	0.04157946386	0.05030434099	0.04838026474	0.05479072356	0.05508633723	0.05053769107
VerbInflection	aux_form_dist_Fin	0.04710592593	0.05507503652	0.05176873817	0.04993135256	0.0489541836	0.05288797912	0.0481146417	0.05743020219	0.06227954117	0.06038870028	0.04463175079	0.04642793687
VerbInflection	verbs_tense_dist_Pres	0.04649781248	0.03964913682	0.0472498767	0.05255007082	0.04502801148	0.05696557799	0.04767269837	0.0501493794	0.06771394935	0.06015645492	0.04187879565	0.0426400104
VerbInflection	aux_tense_dist_Pres	0.04560010007	0.05067189845	0.04316851191	0.04332354916	0.04400090362	0.04659738587	0.0412932237	0.05363151296	0.05814456379	0.05861828295	0.03249468529	0.04332594719
VerbInflection	aux_mood_dist_Ind	0.04325937247	0.05324479069	0.04965607916	0.04337883439	0.04839576207	0.05430193115	0.04861951339	0.0589703858	0.05268210046	0.05309130319	0.04206333929	0.03916348479
VerbPredicate	verbal_root_perc	0.04319947352	0.05502158005	0.04459620767	0.04058798669	0.03753089846	0.04422553758	0.04818085697	0.04677418489	0.0465888404	0.04708590749	0.04066535526	0.02381007842
SyntacticDep	dep_dist_case	0.04207023687	0.05126943723	0.05238813465	0.04759761633	0.05439970122	0.04750086626	0.03900499971	0.04683342856	0.0458050718	0.05215913015	0.05535600217	0.04503200876
VerbInflection	verbs_tense_dist_Past	0.04145321241	0.03822342068	0.04662708679	0.04380174397	0.04463935191	0.05150546858	0.05743371852	0.04930883802	0.05884008146	0.04896387603	0.02534928887	0.03954030026
